日期,早晨天气,晚间天气,最高气温,最低气温,羽绒服,毛呢大衣,T恤（短）,卫衣,毛衣,连衣裙,牛仔裤,休闲裤,帆布鞋,老爹鞋,马丁靴
2020年1月1日,阴,阴,10,6,0,1,0,0,1,0,0,1,1,0,0
2020年1月2日,多云,多云,12,6,0,1,0,0,0,1,0,0,0,0,1
2020年1月3日,多云,多云,13,7,0,0,0,1,1,0,1,0,1,0,0
2020年1月4日,阴,多云,11,7,1,0,0,1,0,0,0,1,0,1,0
2020年1月5日,阴,阴,10,7,1,0,0,1,0,0,0,1,0,1,0
2020年1月6日,小雨,多云,10,4,1,0,0,1,0,0,0,1,0,1,0
2020年1月7日,多云,多云,12,6,0,1,0,0,0,1,0,0,0,0,1
2020年1月8日,阴,阴,10,5,1,0,0,0,1,0,1,0,1,0,0
2020年1月9日,阴,小雨,9,5,1,0,0,0,1,0,1,0,1,0,0
2020年1月10日,阴,多云,8,3,1,0,0,0,1,0,1,0,1,0,0
2020年1月11日,晴,多云,11,5,0,1,0,0,0,1,0,0,0,0,1
2020年1月12日,阴,阴,11,3,0,1,0,0,0,1,0,0,0,0,1
2020年1月13日,阴,阴,9,6,1,0,0,0,1,0,0,1,0,1,0
2020年1月14日,阴,阴,8,5,1,0,0,0,1,0,0,1,0,1,0
2020年1月15日,小雨,多云,8,5,1,0,0,0,1,0,0,1,0,1,0
2020年1月16日,阴,阴,10,5,0,1,0,0,0,1,0,0,0,0,1
2020年1月17日,阴,小雨,8,5,1,0,0,0,1,0,1,0,1,0,0
2020年1月18日,小雨,多云,7,4,1,0,0,0,1,0,1,0,1,0,0
2020年1月19日,阴,多云,11,5,0,1,0,0,0,1,0,0,0,0,1
2020年1月20日,阴,多云,10,5,1,0,0,0,1,0,0,1,0,1,0
2020年1月21日,阴,多云,10,6,1,0,0,0,1,0,0,1,0,1,0
2020年1月22日,阴,小雨,11,6,0,1,0,1,0,0,1,0,1,0,0
2020年1月23日,阴,小雨,12,7,0,1,0,1,0,0,1,0,1,0,0
2020年1月24日,小雨,阴,10,6,0,1,0,0,0,1,0,0,0,0,1
2020年1月25日,多云,阴,11,5,0,1,0,0,0,1,0,0,0,0,1
2020年1月26日,阴,阴,8,4,1,0,0,0,1,0,0,1,0,1,0
2020年1月27日,小雨,小雨,7,4,1,0,0,0,1,0,0,1,0,1,0
2020年1月28日,小雨,多云,8,4,1,0,0,0,1,0,0,1,0,1,0
2020年1月29日,阴,多云,11,5,0,1,0,1,0,0,1,0,1,0,0
2020年1月30日,阴,小雨,10,5,0,1,0,1,0,0,1,0,1,0,0
2020年1月31日,小雨,小雨,8,6,1,0,0,0,1,0,0,1,0,1,0
2020年2月1日,阴,小雨,9,6,1,0,0,0,1,0,0,1,0,1,0
2020年2月2日,小雨,阴,11,5,1,0,0,0,1,0,0,1,0,1,0
2020年2月3日,晴,晴,12,5,0,0,0,0,0,1,0,0,0,0,1
